US State,Crop Name,Input N,Output N,Input P,Output P,Input K,Output K
Alabama,"Millet",45,35,13,10,5,33
Alabama,"Tamarinds",26,35,7,41,49,20
Alabama,"Oranges",34,2,22,9,36,8
Alabama,"Common Ragwort",32,41,31,47,3,21
Alabama,"Tea",4,32,44,37,35,50
Alabama,"Cumin",45,27,20,39,13,10
Alabama,"Rutabagas",25,7,32,25,7,49
Alabama,"Camelina",9,33,9,31,46,50
Alabama,"Sweet Clover",11,1,0,40,29,27
Alabama,"Rye",8,16,43,17,16,40
Alabama,"Baby Rose",38,19,29,37,48,22
Alabama,"Rambutans",18,4,36,49,31,30
Alabama,"Cayenne Pepper",27,36,44,7,1,13
Alabama,"Starfruit",47,43,44,13,2,36
Alabama,"Felonwood",42,6,42,34,43,41
Alabama,"Papayas",17,37,32,35,31,6
Alabama,"Sweet Potatoes",15,15,13,18,39,25
Alabama,"Cork Oak",40,23,40,41,0,10
Alabama,"Teak",14,8,31,20,22,42
Alabama,"Hemp",2,1,27,7,46,41
Alabama,"Tabasco",32,50,27,49,45,49
Alabama,"Swiss Chard",22,5,34,14,42,10
Alabama,"Mahogany",23,26,5,38,45,28
Alabama,"Ti",50,47,16,5,20,28
Alabama,"Rose Apples",42,40,24,27,37,31
Alabama,"Walnuts",35,21,42,50,38,23
Alabama,"Drumstick",43,6,38,32,28,31
Alabama,"Red Ink Plant",48,24,45,30,19,31
Alabama,"Ragwort",47,9,7,41,33,18
Alabama,"Acai Berries",0,31,48,46,13,6
Alabama,"Melons",48,41,31,34,0,13
Alabama,"Ginseng",24,5,2,35,24,49
Alabama,"Ambrosia",9,50,47,37,19,19
Alabama,"Orchard Grass",29,47,10,40,46,40
Alabama,"Pomegranates",41,45,12,28,18,29
Alabama,"Giant Ragweed",47,40,21,46,50,42
Alabama,"Poblano Pepper",15,48,15,37,49,35
Alabama,"Broadleaf",29,39,43,50,27,21
Alabama,"Hazelnuts",18,15,45,17,40,14
Alabama,"Bok Choy",42,27,7,33,1,16
Alabama,"Cinnamon",42,27,10,33,0,1
Alabama,"Chives",46,48,13,28,35,6
Alabama,"Taro",30,29,19,41,11,28
Alabama,"Blue Java Banana",23,34,41,20,16,15
Alabama,"Duck Retten",34,17,3,13,46,36
Alabama,"Coriander",1,36,31,31,20,32
Alabama,"Cherries",50,27,21,26,38,24
Alabama,"Dill",21,7,29,48,48,13
Alabama,"Alder",49,38,2,34,3,25
Alabama,"Chickpeas",13,31,29,34,14,33
Alabama,"Gooseberries",42,32,25,43,21,14
Alabama,"Tomatillo",6,37,22,32,34,5
Alabama,"Wax Gourd",3,13,31,44,33,6
Alabama,"Tossa Jute",20,9,9,24,10,47
Alabama,"Rosemary",49,37,1,38,40,8
Alabama,"Ragweed",39,36,10,8,17,32
Alabama,"Mint",5,32,26,9,8,42
Alabama,"Flax",22,46,7,24,12,13
Alabama,"Lavender",29,2,43,40,3,24
Alabama,"Desert Rose",22,13,40,47,22,10
Alabama,"Roadweed",50,2,23,37,41,27
Alabama,"Serrano",38,7,4,1,48,5
Alabama,"Ginger",27,37,2,37,22,1
Alabama,"Arizona Sycamore",8,4,30,37,40,50
Alabama,"Baobab",36,37,47,40,0,35
Alabama,"Maple Syrup Tree",5,7,35,12,23,18
Alabama,"Indigo",49,3,30,10,48,27
Alabama,"Cauliflower",22,46,49,43,26,23
Alabama,"Cloves",1,11,47,1,3,26
Alabama,"Chinese Broccoli",2,40,38,13,11,15
Alabama,"Black-weed",8,16,29,10,15,45
Alabama,"Earth Gall",40,9,41,26,19,21
Alabama,"Oats",13,22,33,5,6,16
Alabama,"Pineapples",13,11,2,43,5,4
Alabama,"Artichokes",13,12,1,29,30,32
Alabama,"Marsh Ragwort",32,10,36,10,19,35
Alabama,"Horseradish",25,36,22,6,9,2
Alabama,"Western Redbud",7,3,44,19,2,43
Alabama,"Monkey Orange",27,39,5,9,11,27
Alabama,"Acorn Squash",42,17,42,8,17,42
Alabama,"Carrots",47,24,7,30,35,6
Alabama,"Black Raspberry",32,9,2,34,28,31
Alabama,"Salak",22,7,12,17,13,17
Alabama,"Cashew Apple",18,49,9,45,8,8
Alabama,"Bokhara Clover",11,2,5,13,29,25
Alabama,"Chigger Flower",34,39,11,29,36,13
Alabama,"Lentils",29,41,44,1,14,16
Alabama,"Felonwort",36,14,44,38,49,29
Alabama,"Acerola",25,27,33,23,45,15
Alabama,"Yams",30,42,16,20,43,46
Alabama,"Wormwood",25,45,19,27,13,16
Alabama,"Eastern Redbud",12,41,36,46,35,30
Alabama,"Musk Cucumber",17,43,23,45,26,40
Alabama,"Longan",45,0,36,7,27,27
Alabama,"Redbud",48,9,16,33,27,29
Alabama,"Leeks",44,6,26,41,46,39
Alabama,"Bitterweed",44,29,6,4,14,28
Alabama,"Rhubarb",42,10,11,38,33,35
Alabama,"Blueberry",4,7,11,9,44,34
Alabama,"Cashews",44,21,48,15,36,2
Alabama,"Collard Greens",23,5,14,38,17,9
Alabama,"Blackhaw",39,27,8,11,25,11
Alabama,"Aloe Vera",49,30,40,16,0,9
Alabama,"Bittercress",18,42,42,10,25,46
Alabama,"Fava Beans",40,31,44,4,23,21
Alabama,"Avocado",31,7,11,24,8,9
Alabama,"Arugula",23,39,38,47,1,45
Alabama,"Fellenwort",16,36,11,26,27,8
Alabama,"Mangosteens",45,17,43,15,17,23
Alabama,"Madder",28,15,41,47,14,32
Alabama,"Devil's Bite",24,7,42,26,47,1
Alabama,"Hibiscus",36,50,37,7,24,16
Alabama,"Radicchio",33,42,24,9,36,38
Alabama,"Ferns",18,34,32,16,13,13
Alabama,"Apples",14,7,43,1,11,11
Alabama,"Lotus Roots",44,17,32,43,20,0
Alabama,"Pitaya",21,15,42,17,3,17
Alabama,"Soursop",12,25,31,10,49,9
Alabama,"Sugar Beets",36,37,3,40,18,22
Alabama,"Chia",28,30,4,2,34,4
Alabama,"Eggplants",21,16,14,45,0,20
Alabama,"Boxelder",6,46,29,26,23,5
Alabama,"Chard",24,32,14,7,16,34
Alabama,"Arfaj",25,41,18,44,36,46
Alabama,"Cardamom",43,50,15,46,11,20
Alabama,"Dye-Leaves",44,8,18,50,46,4
Alabama,"Currants",46,1,18,29,35,0
Alabama,"Shallots",26,30,29,2,49,37
Alabama,"Angel Trumpet",33,15,49,13,50,38
Alabama,"Potatoes",14,41,19,38,9,2
Alabama,"Banana Pepper",3,49,41,2,18,0
Alabama,"Beets",19,8,48,2,16,7
Alabama,"Bahiagrass",35,2,10,30,32,20
Alabama,"Plums",45,3,6,17,50,38
Alabama,"Dandelion Greens",49,39,8,16,29,34
Alabama,"Breadfruit Tree",49,47,12,37,17,29
Alabama,"Buckwheat",30,15,13,7,2,50
Alabama,"Para Grass",22,27,43,45,36,29
Alabama,"Boxwood",22,46,24,39,50,36
Alabama,"Bitter Melon",10,1,36,1,33,29
Alabama,"Arrowwood",1,42,20,21,20,44
Alabama,"Black Pepper",4,19,30,45,43,23
Alabama,"Dewberry",43,9,43,5,34,17
Alabama,"Endive",17,30,49,5,27,33
Alabama,"Date Palm",8,9,47,17,50,38
Alabama,"Canary Grass",17,14,17,13,21,37
Alabama,"Grapefruits",45,31,21,5,4,14
Alabama,"Arnica",40,47,38,25,30,7
Alabama,"Fairymoss",1,15,9,26,2,13
Alabama,"Quinoa",29,21,7,45,42,26
Alabama,"Brown Betty",21,21,29,6,32,40
Alabama,"Water Chestnuts",40,15,30,5,33,9
Alabama,"Broccoli",35,12,41,50,4,25
Alabama,"Bay Leaves",1,22,40,38,5,47
Alabama,"Ryegrass",29,47,18,23,9,31
Alabama,"Clover",39,38,23,49,2,14
Alabama,"Elephant Apple",12,30,21,37,33,43
Alabama,"Sage",40,47,5,8,7,46
Alabama,"Loquat",11,24,46,46,6,23
Alabama,"Bell Pepper (Red)",24,37,29,29,47,23
Alabama,"Ribwort",1,5,21,23,3,4
Alabama,"Dandelion",19,5,33,7,43,6
Alabama,"Jabuticaba",21,40,28,21,27,22
Alabama,"Sorghum Grass",9,36,6,42,25,50
Alabama,"Kapok",0,12,30,38,20,44
Alabama,"Bird of Paradise",2,5,5,30,4,36
Alabama,"Butternut Squash",24,40,35,40,18,35
Alabama,"Jicama",9,46,31,38,34,17
Alabama,"Rambai",10,49,40,2,9,46
Alabama,"Parsley",38,46,6,39,2,16
Alabama,"Ghost Pepper",37,29,25,12,18,2
Alabama,"Chili Peppers",3,0,44,44,22,32
Alabama,"Kenaf",48,28,23,31,47,34
Alabama,"Safflower",19,4,38,4,14,6
Alabama,"Tangerines",25,17,45,22,22,14
Alabama,"Sudan Grass",10,26,8,8,23,7
Alabama,"Redbrush",36,2,6,37,31,47
Alabama,"Maize",44,23,6,22,36,38
Alabama,"Judas-Tree",49,9,50,44,33,35
Alabama,"African Sheepbush",37,7,14,45,16,33
Alabama,"Lettuce",35,45,2,14,27,12
Alabama,"Purslane",21,45,28,25,20,35
Alabama,"Brittlebush",25,25,38,50,19,49
Alabama,"Bow-wood",17,23,49,0,47,7
Alabama,"Deadnettle",44,2,31,23,43,48
Alabama,"Sapodilla",50,28,33,44,36,39
Alabama,"Radical Weed",31,5,15,26,4,43
Alabama,"Easter Orchid",4,44,25,19,3,41
Alabama,"Yarrow",11,42,40,42,3,19
Alabama,"Langsat",31,28,15,47,43,40
Alabama,"Lychees",10,3,14,34,8,44
Alabama,"Jerusalem Artichoke",47,16,10,50,2,13
Alabama,"Fonio",32,23,25,2,29,12
Alabama,"Rocketcress",2,20,9,37,19,6
Alabama,"Lima Beans",4,45,16,9,26,42
Alabama,"Birdsfoot Deervetch",34,13,48,35,14,24
Alabama,"Pawpaw",50,28,1,10,37,33
Alabama,"Bell Pepper (Yellow)",34,50,39,50,41,32
Alabama,"Bindweed",32,4,1,26,8,29
Alabama,"Maca",11,25,11,37,25,2
Alabama,"Bean",26,50,50,33,0,13
Alabama,"Sunhemp",26,17,3,43,44,25
Alabama,"Spinach",37,37,3,15,46,50
Alabama,"Canola",2,3,35,39,29,25
Alabama,"Mesquite",8,3,33,25,33,20
Alabama,"Arrowroot",7,15,3,48,45,37
Alabama,"Aloe",33,49,36,15,2,24
Alabama,"Beech",23,7,37,9,48,32
Alabama,"Gherkin",49,34,19,6,24,7
Alabama,"Red Banana",4,16,18,0,14,25
Alabama,"Sorrel",36,50,40,16,26,46
Alabama,"Loofah",45,5,28,5,15,48
Alabama,"Lotus",13,34,20,35,23,44
Alabama,"Tobacco Plant",5,45,37,2,34,33
Alabama,"Fluxroot",30,4,49,12,20,45
Alabama,"Mustard Greens",14,40,45,44,22,20
Alabama,"Guayusa",2,41,45,11,30,13
Alabama,"Dhaincha",6,44,16,18,44,28
Alabama,"Cress",18,15,43,7,33,39
Alabama,"Evergreen Huckleberry",24,30,46,6,9,31
Alabama,"Scotch Bonnet",22,32,25,1,50,9
Alabama,"Pecans",38,37,9,44,41,4
Alabama,"Lemongrass",38,20,6,17,27,47
Alabama,"Breadfruit",36,46,22,12,23,3
Alabama,"Dogwood",26,9,6,49,8,37
Alabama,"Brier",29,6,49,20,7,11
Alaska,"Olive",11,42,41,14,47,41
Alaska,"Field Forget-Me-Not",34,16,43,45,32,5
Alaska,"Cayenne Pepper",28,29,22,43,45,5
Alaska,"Poblano Pepper",44,17,19,48,10,31
Alaska,"Lamb's Quarters",33,30,23,8,24,37
Alaska,"Black-weed",21,35,0,26,7,17
Alaska,"Clover",23,14,7,24,32,25
Alaska,"Mint",2,19,40,2,17,29
Alaska,"Rose",14,2,4,41,48,43
Alaska,"Dates",50,48,17,37,8,36
Alaska,"Bokhara Clover",0,20,25,12,47,11
Alaska,"Jerusalem Artichoke",25,49,18,20,44,45
Alaska,"Almonds",1,41,36,25,0,16
Alaska,"Tobacco Plant",9,37,16,48,20,19
Alaska,"Teff",3,16,38,7,19,2
Alaska,"Cabbage",24,47,8,49,4,3
Alaska,"St. John's Wort",10,26,2,44,27,29
Alaska,"Bluebell",5,48,33,3,9,18
Alaska,"Garlic",44,13,35,2,6,42
Alaska,"Arugula",6,8,50,35,40,1
Alaska,"Jabuticaba",6,28,40,49,20,3
Alaska,"Great Ragweed",46,50,2,27,3,8
Alaska,"Cashews",23,27,27,5,15,45
Alaska,"Artichokes",10,23,24,26,4,6
Alaska,"Cauliflower",8,35,9,22,19,25
Alaska,"Eastern Redbud",32,24,17,36,5,32
Alaska,"Olive Tree",46,36,35,24,10,19
Alaska,"Millet",43,16,26,13,45,43
Alaska,"Endive",48,6,17,28,33,1
Alaska,"Honey Clover",23,3,8,13,48,17
Alaska,"Chrysanthemum",19,41,4,25,35,39
Alaska,"Silver Ragwort",18,19,36,3,18,4
Alaska,"Pineapples",17,8,46,36,39,43
Alaska,"Dandelion",43,24,47,9,9,24
Alaska,"Cowpeas",39,21,41,48,30,22
Alaska,"Moringa",38,42,27,37,44,9
Alaska,"Beech",47,17,33,8,30,49
Alaska,"Chigger Flower",16,33,38,14,35,41
Alaska,"Apples",8,23,48,11,43,3
Alaska,"Cherimoya",16,15,7,36,3,7
Alaska,"Sweet Potatoes",2,15,34,3,5,30
Alaska,"Foxglove",9,38,36,24,24,3
Alaska,"Goosefoot",50,1,40,23,39,50
Alaska,"Cherries",11,7,28,20,46,16
Alaska,"Rambai",18,45,31,22,8,1
Alaska,"Aloe",19,27,7,24,25,40
Alaska,"Hazelnuts",8,13,28,2,17,25
Alaska,"Dindle",22,25,48,1,27,2
Alaska,"Brittlebush",48,28,40,1,43,2
Alaska,"Grapes",43,34,30,41,43,25
Alaska,"Bitter Melon",29,42,32,37,23,39
Alaska,"Collard Greens",30,45,19,49,10,23
Alaska,"Mahogany",26,9,21,8,10,38
Alaska,"Monkey Orange",9,36,13,32,20,12
Alaska,"Baobab Fruit",15,11,26,31,10,2
Alaska,"Dill",39,37,48,33,32,44
Alaska,"Drumstick",19,46,3,2,7,34
Alaska,"Birch",37,32,42,36,38,13
Alaska,"Papayas",18,41,2,5,9,35
Alaska,"Easter Orchid",35,9,43,43,28,15
Alaska,"Brown Betty",37,39,38,17,23,39
Alaska,"Caper",30,22,18,12,2,39
Alaska,"Fairymoss",45,15,30,38,30,43
Alaska,"Amy Root",33,7,28,7,40,33
Alaska,"Yams",24,16,44,1,20,50
Alaska,"Echinacea",11,33,23,28,46,1
Alaska,"Asafoetida",17,39,37,25,26,3
Alaska,"Leeks",10,45,8,40,16,13
Alaska,"Ribwort",0,26,24,18,38,6
Alaska,"Arrowwood",45,34,23,18,37,36
Alaska,"Amaranth",40,11,8,33,27,40
Alaska,"Felonwood",45,21,43,23,1,50
Alaska,"Eggplants",45,1,10,25,44,31
Alaska,"Fluxroot",5,1,27,2,39,5
Alaska,"Orchard Grass",26,25,17,37,5,17
Alaska,"Mangosteens",22,4,3,26,3,27
Alaska,"Mung Beans",23,2,0,19,32,17
Alaska,"Ginger",32,19,17,32,14,50
Alaska,"Common Ragweed",17,50,44,16,6,7
Alaska,"Indian Fig",20,21,23,41,35,4
Alaska,"Pecans",14,43,14,30,34,2
Alaska,"Desert Rose",43,50,16,33,14,14
Alaska,"Rhubarb",24,41,2,27,46,12
Alaska,"Okra",18,9,9,8,31,48
Alaska,"Mustard Seeds",39,1,22,21,45,2
Alaska,"Figs",36,36,49,44,1,7
Alaska,"Blue-of-the-heavens",9,37,12,38,34,13
Alaska,"Apricot",7,29,40,21,13,25
Alaska,"Agave",40,24,35,2,21,12
Alaska,"Breadfruit",0,10,44,33,0,28
Alaska,"Japanese Millet",47,9,20,42,50,24
Alaska,"Neem",45,1,27,25,44,28
Alaska,"Bird of Paradise",0,47,37,33,48,13
Alaska,"Cashew Apple",48,21,49,28,2,6
Alaska,"Passionfruit",42,26,15,2,28,13
Alaska,"Broccoli",27,22,2,20,41,10
Alaska,"Lima Beans",47,10,35,17,13,14
Alaska,"Currants",47,36,37,26,12,5
Alaska,"Chili Peppers",44,2,31,48,36,2
Alaska,"Anaheim Pepper",6,15,23,9,47,22
Alaska,"Butterfly Weed",34,19,13,4,17,31
Alaska,"Multiflora Rose",47,36,29,43,17,44
Alaska,"Black Pepper",16,49,35,2,12,44
Alaska,"Sesame",2,42,5,16,34,27
Alaska,"Ryegrass",29,1,25,28,47,27
Alaska,"Onions",15,31,38,45,5,26
Alaska,"Napier Grass",15,1,34,14,14,30
Alaska,"Lavender",8,3,15,15,11,4
Alaska,"Asian Rice",12,32,14,36,43,4
Alaska,"Pears",48,39,30,31,22,14
Alaska,"Madder",31,37,37,28,40,12
Alaska,"Cucumbers",48,30,45,24,25,30
Alaska,"Extinguisher Moss",2,14,33,16,43,0
Alaska,"Arizona Sycamore",31,30,18,37,34,9
Alaska,"Mizuna",24,2,14,30,1,21
Alaska,"Feverfew",19,19,30,45,26,17
Alaska,"Yerba Mate",17,27,14,4,26,11
Alaska,"Musk Cucumber",18,23,1,18,4,27
Alaska,"Raspberries",33,12,37,35,11,48
Alaska,"Parsnips",12,2,16,45,8,11
Alaska,"Wax Gourd",46,9,22,15,48,5
Alaska,"Aloe Vera",17,10,37,27,31,48
Alaska,"Tea",1,28,46,30,48,31
Alaska,"White Sweetclover",48,24,34,35,1,28
Alaska,"Chia",37,13,38,8,14,26
Alaska,"Arfaj",9,39,49,34,39,14
Alaska,"Rubber Tree",49,11,13,37,6,20
Alaska,"Canola",26,39,39,12,12,2
Alaska,"Tamarinds",50,43,10,0,37,27
Alaska,"Elegant Lupine",11,0,36,34,10,16
Alaska,"Ti",43,41,29,9,9,45
Alaska,"Roadweed",13,45,18,8,50,19
Alaska,"Brazil Nuts",47,32,14,49,0,19
Alaska,"Almond",47,27,8,46,2,23
Alaska,"Bananas",19,19,0,15,18,36
Alaska,"Tatsoi",9,0,31,4,32,16
Alaska,"Winter Rocket",21,12,18,33,14,50
Alaska,"Calendula",28,9,38,43,15,34
Alaska,"Jicama",31,7,0,0,12,7
Alaska,"Redbud",13,18,5,6,26,30
Alaska,"Sorghum",39,29,38,41,30,15
Alaska,"Durian",35,12,43,11,20,9
Alaska,"Chestnuts",18,45,48,15,26,22
Alaska,"Kale",3,22,40,41,46,2
Alaska,"Pumpkins",49,19,47,18,41,36
Alaska,"Tabasco",31,13,21,15,35,42
Alaska,"Kava",21,14,47,17,16,43
Alaska,"Maize",25,4,30,49,22,43
Alaska,"Strawberries",30,37,14,37,44,2
Alaska,"Rheumatism Root",31,16,12,18,44,19
Alaska,"Arnica",36,4,49,14,29,17
Alaska,"Blackhaw",7,15,23,27,30,18
Alaska,"Starfruit",23,2,44,15,45,3
Alaska,"Elderberry",41,14,37,23,10,12
Alaska,"Bell Pepper (Red)",24,43,20,20,30,12
Alaska,"Tarragon",46,33,12,17,3,6
Alaska,"Turmeric",7,35,27,16,34,3
Alaska,"Coconuts",9,10,3,15,46,42
Alaska,"Fenugreek",42,7,37,50,23,39
Alaska,"Black Beans",15,3,48,16,44,6
Alaska,"Ash",45,29,23,47,17,20
Alaska,"Quinoa",38,30,46,48,44,30
Alaska,"Blackberry",3,20,44,38,9,34
Alaska,"Bell Pepper (Green)",8,3,23,32,12,37
Alaska,"Tossa Jute",7,22,50,19,25,4
Alaska,"Sunflowers",28,10,44,26,45,41
Alaska,"Mustard Greens",5,9,35,14,18,40
Alaska,"Cork Oak",1,21,0,0,21,29
